"","age","deaths","prob"
"1",0,0,0
"2",1,589,0.00589005881920457
"3",2,40,0.000400004006223753
"4",3,25,0.000250002485699952
"5",4,19,0.000190001897863112
"6",5,14,0.000140001400723122
"7",6,14,0.000140001400723122
"8",7,13,0.000130001295474358
"9",8,11,0.000110001099528745
"10",9,10,0.000100001001555938
"11",10,9,9.00009035831317e-05
"12",11,9,9.00009035831317e-05
"13",12,10,0.000100001001555938
"14",13,12,0.000120001197501551
"15",14,17,0.000170001701917499
"16",15,24,0.000240002395003103
"17",16,31,0.000310003088088706
"18",17,39,0.000390003900974989
"19",18,47,0.000470004713861272
"20",19,56,0.000560005602892488
"21",20,65,0.000650006521027535
"22",21,75,0.000750007515307516
"23",22,84,0.000840008375234902
"24",23,90,0.000900009006727487
"25",24,95,0.000950009503867477
"26",25,97,0.000970009714365005
"27",26,99,0.000990009866654873
"28",27,101,0.00101001013536006
"29",28,104,0.00104001036379486
"30",29,107,0.00107001070864499
"31",30,112,0.00112001120578498
"32",31,116,0.00116001162678003
"33",32,121,0.00121001212392002
"34",33,125,0.00125001254491508
"35",34,129,0.00129001284949481
"36",35,133,0.00133001327048987
"37",36,137,0.00137001369148493
"38",37,143,0.00143001426476985
"39",38,149,0.0014900149544701
"40",39,156,0.00156001560389996
"41",40,164,0.00164001644589007
"42",41,173,0.00173001724760979
"43",42,184,0.00184001843445003
"44",43,197,0.00197001965716481
"45",44,210,0.00210002111271024
"46",45,226,0.00226002256385982
"47",46,243,0.00243002432398498
"48",47,262,0.00262002623640001
"49",48,287,0.00287002860568464
"50",49,317,0.00317003158852458
"51",50,351,0.0035100351087749
"52",51,386,0.00386003870517015
"53",52,420,0.00420004222542048
"54",53,456,0.00456004543229938
"55",54,494,0.00494004925712943
"56",55,534,0.00534005323424935
"57",56,576,0.00576005782932043
"58",57,618,0.00618006195873022
"59",58,661,0.00661006616428494
"60",59,704,0.00704007036983967
"61",60,749,0.00749007472768426
"62",61,796,0.00796007923781872
"63",62,847,0.0084700845181942
"64",63,900,0.00900008995085955
"65",64,953,0.00953009538352489
"66",65,1007,0.0100701004266739
"67",66,1062,0.0106201060116291
"68",67,1121,0.0112101119011641
"69",68,1187,0.0118701187893748
"70",69,1264,0.0126401260495186
"71",70,1355,0.013550135307014
"72",71,1465,0.0146501464769244
"73",72,1585,0.0158501584082842
"74",73,1704,0.0170401707291603
"75",74,1818,0.0181801822036505
"76",75,1936,0.0193601939827204
"77",76,2060,0.0206002052873373
"78",77,2194,0.0219402201473713
"79",78,2337,0.0233702342957258
"80",79,2495,0.0249502491205931
"81",80,2662,0.0266202669590712
"82",81,2827,0.0282702818512917
"83",82,2985,0.0298502985388041
"84",83,3139,0.0313903130590916
"85",84,3271,0.0327103286981583
"86",85,3398,0.0339803397655487
"87",86,3489,0.0348903499543667
"88",87,3583,0.0358303599059582
"89",88,3632,0.0363203622400761
"90",89,3630,0.0363003611564636
"91",90,3572,0.0357203558087349
"92",91,3454,0.034540344029665
"93",92,3277,0.0327703282237053
"94",93,3045,0.0304503049701452
"95",94,2766,0.0276602767407894
"96",95,2452,0.0245202444493771
"97",96,2117,0.021170211955905
"98",97,1777,0.0177701786160469
"99",98,1448,0.0144801447167993
"100",99,1143,0.0114301145076752
"101",100,872,0.00872008688747883
"102",101,800,0.00800007954239845
"103",102,700,0.00700007006525993
"104",105,435,0.00435004336759448
"105",110,0,0
