"","state","rate2016","rate2006","rate1996"
"1","Alabama",1078.80004882812,1021.5,1002.29998779297
"2","Alaska",605.700012207031,500.6,425.399993896484
"3","Arizona",817.299987792969,751.9,826.400024414062
"4","Arkansas",1062.69995117188,992.6,1057.19995117188
"5","California",668.099975585938,650.4,700.900024414062
"6","Colorado",677.400024414062,621.1,672.900024414062
"7","Connecticut",854,834.9,902.799987792969
"8","Delaware",932.099975585938,844.1,897.200012207031
"9","District of Columbia",739.5,919,1219.40002441406
"10","Florida",957.299987792969,940.1,1065.59997558594
"11","Georgia",789.799987792969,724.1,799
"12","Hawaii",763.900024414062,733.7,671.400024414062
"13","Idaho",794.099975585938,723.7,732.700012207031
"14","Illinois",836,796.2,895.599975585938
"15","Indiana",956.900024414062,881,906.900024414062
"16","Iowa",942.299987792969,917.5,976.200012207031
"17","Kansas",902.700012207031,888.3,929.299987792969
"18","Kentucky",1077.90002441406,953.4,959.700012207031
"19","Louisiana",946.400024414062,933.9,909.900024414062
"20","Maine",1065.09997558594,930.3,944.299987792969
"21","Maryland",811.5,776.1,827.299987792969
"22","Massachusetts",836.200012207031,830.3,908.200012207031
"23","Michigan",969.299987792969,852.3,871.599975585938
"24","Minnesota",780.400024414062,716.6,798.299987792969
"25","Mississippi",1062,981.4,982.400024414062
"26","Missouri",982.700012207031,935.9,1006
"27","Montana",950.099975585938,896.9,876.400024414062
"28","Nebraska",850.299987792969,842.5,937.200012207031
"29","Nevada",813,756.2,822.400024414062
"30","New Hampshire",914.200012207031,765.1,808.200012207031
"31","New Jersey",817.900024414062,806.4,916.400024414062
"32","New Mexico",882.5,782.6,728.400024414062
"33","New York",781.700012207031,770.8,904
"34","North Carolina",891.599975585938,843.6,905.299987792969
"35","North Dakota",823.5,922.8,934.099975585938
"36","Ohio",1029.5,930.7,941.599975585938
"37","Oklahoma",1001,989.8,1003.29998779297
"38","Oregon",874,847.9,902.5
"39","Pennsylvania",1040.69995117188,1009.1,1072.30004882812
"40","Rhode Island",921.5,907.6,964
"41","South Carolina",970.099975585938,897,920.700012207031
"42","South Dakota",906.5,906,928
"43","Tennessee",1020.20001220703,941.2,966.599975585938
"44","Texas",689,668.5,731.700012207031
"45","Utah",587.099975585938,539.8,555.5
"46","Vermont",946.099975585938,809.1,827.299987792969
"47","Virginia",790.200012207031,754.8,801.5
"48","Washington",751.5,721.1,763.700012207031
"49","West Virginia",1241.40002441406,1136.8,1118.40002441406
"50","Wisconsin",896.700012207031,830.6,874.900024414062
"51","Wyoming",806.5,837.1,748.200012207031
