"","year","canada","usa"
"1",1970,7.09999990463257,7.40000009536743
"2",1975,7.19999980926514,7.90000009536743
"3",1976,7,8.10000038146973
"4",1977,7,8.30000019073486
"5",1978,7,8.30000019073486
"6",1979,6.80000019073486,8.39999961853027
"7",1980,7.09999990463257,8.89999961853027
"8",1981,7.19999980926514,9.19999980926514
"9",1982,8,10
"10",1983,8.10000038146973,10.1000003814697
"11",1984,8,10
"12",1985,8,10.1999998092651
"13",1986,8.30000019073486,10.3000001907349
"14",1987,8.19999980926514,10.6000003814697
"15",1988,8.19999980926514,11
"16",1989,8.39999961853027,11.3999996185303
"17",1990,8.80000019073486,12.1000003814697
"18",1991,9.5,12.8000001907349
"19",1992,9.80000019073486,13.1000003814697
"20",1993,9.60000038146973,13.3000001907349
"21",1994,9.30000019073486,13.1999998092651
"22",1995,9,13.3000001907349
"23",1996,8.80000019073486,13.3000001907349
"24",1997,8.69999980926514,13.1999998092651
"25",1998,9,13.1999998092651
"26",1999,9,13.1999998092651
"27",2000,8.89999961853027,13.3000001907349
"28",2001,9.39999961853027,13.1999998092651
"29",2002,9.69999980926514,14
"30",2003,9.89999961853027,14.5
"31",2004,9.89999961853027,14.5
"32",2005,9.89999961853027,15.1000003814697
"33",2006,10.1000003814697,15.8000001907349
"34",2007,10.1999998092651,15.8999996185303
"35",2008,10.3999996185303,16.6000003814697
"36",2009,11.6000003814697,17.2999992370605
"37",2010,11.6000003814697,17.3999996185303
"38",2011,11.3000001907349,17.2999992370605
"39",2012,11.3000001907349,17.2999992370605
"40",2013,11,17.2000007629395
"41",2014,10.8999996185303,17.3999996185303
"42",2015,11.3999996185303,17.7000007629395
"43",2016,11.5,17.8999996185303
"44",2017,11.5,18
