"","month","survival"
"1",0,1
"2",1,1
"3",2,0.916700005531311
"4",3,0.833299994468689
"5",4,0.833299994468689
"6",5,0.833299994468689
"7",6,0.666700005531311
"8",7,0.583299994468689
"9",8,0.583299994468689
"10",9,0.583299994468689
"11",10,0.5
"12",11,0.5
"13",12,0.5
"14",13,0.5
"15",14,0.5
"16",15,0.333299994468689
"17",16,0.25
"18",17,0.25
"19",18,0.25
"20",19,0.25
"21",20,0.25
"22",21,0.25
"23",22,0.25
"24",23,0.25
"25",24,0.25
"26",25,0.25
"27",26,0.25
"28",27,0.166700005531311
"29",28,0.166700005531311
"30",29,0.166700005531311
"31",30,0.0833000019192696
"32",31,0.0833000019192696
"33",32,0
