"","Country","Year","mortality"
"1","US",1990,16.8999996185303
"2","UK",1990,10.8999996185303
"3","Portugal",1990,18.7999992370605
"4","Germany",1990,20.2000007629395
"5","France",1990,16.8999996185303
"6","Canada",1990,6
"7","Netherlands",1990,12
"8","Spain",1990,12.5
"9","Australia",1990,7.5
"10","Ireland",1990,7
"11","Sweden",1990,10.3999996185303
"12","Italy",1990,11.1000003814697
"13","Denmark",1990,9.60000038146973
"14","Finland",1990,7.90000009536743
"15","US",2000,17.5
"16","UK",2000,13.3999996185303
"17","Portugal",2000,13.3000001907349
"18","Germany",2000,11.3000001907349
"19","France",2000,11.6999998092651
"20","Canada",2000,7.69999980926514
"21","Netherlands",2000,13.1999998092651
"22","Spain",2000,7.5
"23","Australia",2000,7.59999990463257
"24","Ireland",2000,5.09999990463257
"25","Sweden",2000,6.80000019073486
"26","Italy",2000,7.80000019073486
"27","Denmark",2000,5.80000019073486
"28","Finland",2000,7.40000009536743
"29","US",2015,26.3999996185303
"30","UK",2015,9.19999980926514
"31","Portugal",2015,9
"32","Germany",2015,9
"33","France",2015,7.80000019073486
"34","Canada",2015,7.30000019073486
"35","Netherlands",2015,6.69999980926514
"36","Spain",2015,5.59999990463257
"37","Australia",2015,5.5
"38","Ireland",2015,4.69999980926514
"39","Sweden",2015,4.40000009536743
"40","Italy",2015,5.80000019073486
"41","Denmark",2015,4.19999980926514
"42","Finland",2015,3.79999995231628
