"","state","rank2007","rank2008","rank2009","rank2010","rank2011"
"1","Alabama",34,36,37,31,35
"2","Alaska",1,1,1,2,7
"3","Arizona",4,4,5,8,11
"4","Arkansas",16,18,32,23,25
"5","California",36,43,41,35,28
"6","Colorado",6,9,7,10,12
"7","Connecticut",45,47,47,48,47
"8","Delaware",29,23,35,13,4
"9","District_of_Columbia",22,17,16,37,50
"10","Florida",31,44,44,45,42
"11","Georgia",33,42,36,40,37
"12","Hawaii",21,13,10,11,18
"13","Idaho",25,26,28,29,41
"14","Illinois",12,15,15,20,19
"15","Indiana",27,30,24,26,21
"16","Iowa",11,8,13,14,15
"17","Kansas",41,34,27,22,26
"18","Kentucky",2,2,3,12,13
"19","Louisiana",14,7,8,1,2
"20","Maine",24,10,14,19,23
"21","Maryland",43,45,43,39,27
"22","Massachusetts",35,39,46,47,48
"23","Michigan",40,37,39,38,39
"24","Minnesota",50,51,51,51,49
"25","Mississippi",49,48,45,33,17
"26","Missouri",30,27,34,25,32
"27","Montana",20,20,22,32,38
"28","Nebraska",5,11,11,9,6
"29","Nevada",46,32,29,30,44
"30","New_Hampshire",26,46,48,44,36
"31","New_Jersey",42,41,40,41,43
"32","New_Mexico",37,24,9,7,5
"33","New_York",19,19,21,24,24
"34","North_Carolina",15,14,12,16,16
"35","North_Dakota",13,6,2,6,14
"36","Ohio",3,3,4,3,3
"37","Oklahoma",9,5,6,4,8
"38","Oregon",17,16,17,17,20
"39","Pennsylvania",38,31,31,28,29
"40","Rhode_Island",23,29,30,46,45
"41","South_Carolina",51,50,50,50,51
"42","South_Dakota",47,35,26,36,34
"43","Tennessee",28,40,33,27,33
"44","Texas",32,33,38,34,30
"45","Utah",10,21,25,43,40
"46","Vermont",8,22,42,42,31
"47","Virginia",39,28,19,21,22
"48","Washington",44,38,23,18,9
"49","West_Virginia",18,25,18,15,10
"50","Wisconsin",48,49,49,49,46
"51","Wyoming",7,12,20,5,1
