"","continent","life_expectancy","fertility","infant_mr"
"1","Europe",74.7,2.38,23.2
"2","Africa",73.3,2.51,33.9
"3","Africa",52.3,6.84,128.3
"4","Americas",73.8,2.32,13.8
"5","Americas",74.2,2.48,18
"6","Asia",71.3,1.3,26.6
"7","Americas",73.78,1.87,NA
"8","Oceania",79.8,1.76,5.1
"9","Europe",78.2,1.37,4.6
"10","Asia",66.5,2.05,60.6
"11","Americas",70.2,2.07,13
"12","Asia",73.7,2.77,10.9
"13","Asia",64.9,3.12,64.4
"14","Americas",74,1.77,14.8
"15","Europe",68.1,1.23,11.4
"16","Europe",77.8,1.63,4.8
"17","Americas",69,3.59,21.1
"18","Africa",57.2,5.98,89.3
"19","Asia",65.9,3.61,59
"20","Americas",67.6,4.14,58.8
"21","Europe",75.7,1.38,7.9
"22","Africa",47.6,3.41,52.4
"23","Americas",70.7,2.36,28.1
"24","Asia",75.9,2.4,7.6
"25","Europe",71.6,1.18,17.9
"26","Africa",52.6,6.59,96.2
"27","Africa",46.7,7.06,93.4
"28","Asia",60,3.75,80.4
"29","Africa",54.3,5.62,91.9
"30","Americas",79.2,1.51,5.2
"31","Africa",68.4,3.7,29.1
"32","Africa",45.3,5.45,113.6
"33","Africa",51.5,7.35,105.7
"34","Americas",77.3,2.09,9.2
"35","Asia",69.8,1.45,30.2
"36","Americas",73.3,2.64,21.2
"37","Africa",62.1,5.32,72.7
"38","Africa",54.3,7.09,107.4
"39","Africa",52.5,5.13,76.6
"40","Americas",77.7,2.41,11.2
"41","Africa",52,5.38,99.5
"42","Europe",74.2,1.44,7.1
"43","Americas",76.2,1.63,6.5
"44","Asia",77.7,1.71,5.5
"45","Europe",75,1.13,5.6
"46","Europe",77.1,1.77,4.6
"47","Africa",60,4.47,79.7
"48","Americas",73.3,2.89,33.3
"49","Americas",73.2,3.07,28.4
"50","Africa",69.7,3.31,37
"51","Americas",71.9,2.93,26.8
"52","Africa",52.9,5.77,104.8
"53","Africa",37.6,5.94,58.3
"54","Europe",70.4,1.32,8.8
"55","Africa",52.1,6.53,89.5
