"","country","lowbwt","life2000","life2016"
"1","Afghanistan",NA,55.9000015258789,62.7000007629395
"2","Albania",3,73.0999984741211,76.4000015258789
"3","Algeria",7,70.8000030517578,76.4000015258789
"4","Angola",12,47.2999992370605,62.5999984741211
"5","Antigua and Barbuda",8,72.5,75
"6","Argentina",7,74,76.9000015258789
"7","Armenia",7,71.6999969482422,74.8000030517578
"8","Australia",7,79.5999984741211,82.9000015258789
"9","Austria",7,78.4000015258789,81.9000015258789
"10","Azerbaijan",11,66.5,73.0999984741211
"11","Bahamas",7,72,75.6999969482422
"12","Bahrain",8,73.1999969482422,79.0999984741211
"13","Bangladesh",30,65.5,72.6999969482422
"14","Barbados",10,73.4000015258789,75.5999984741211
"15","Belarus",5,68.3000030517578,74.1999969482422
"16","Belgium",8,77.9000015258789,81.1999969482422
"17","Belize",6,68.6999969482422,70.5
"18","Benin",16,55.5999984741211,61.0999984741211
"19","Bhutan",15,61.0999984741211,70.5999984741211
"20","Bolivia",9,63.2999992370605,71.5
"21","Bosnia and Herzegovina",4,74.3000030517578,77.3000030517578
"22","Botswana",10,49.0999984741211,66.0999984741211
"23","Brazil",10,69.9000015258789,75.0999984741211
"24","Brunei Darussalam",10,73.6999969482422,76.4000015258789
"25","Bulgaria",10,71.5,74.8000030517578
"26","Burkina Faso",19,50.0999984741211,60.2999992370605
"27","Burundi",16,51.4000015258789,60.0999984741211
"28","Cambodia",11,57.7000007629395,69.4000015258789
"29","Cameroon",11,49.4000015258789,58.0999984741211
"30","Canada",6,79.3000030517578,82.8000030517578
"31","Central African Republic",14,45.4000015258789,53
"32","Chad",17,47.9000015258789,54.2999992370605
"33","Chile",5,77.0999984741211,79.5
"34","China",6,72.0999984741211,76.4000015258789
"35","Colombia",9,71.0999984741211,75.0999984741211
"36","Costa Rica",7,77.4000015258789,79.5999984741211
"37","Cote d'Ivoire",17,49.2000007629395,54.5999984741211
"38","Croatia",6,74.4000015258789,78.3000030517578
"39","Cuba",6,76.5999984741211,79
"40","Czech Republic",7,78.5,82.0999984741211
"41","Democratic Republic of the Congo",12,51.7000007629395,60.5
"42","Denmark",5,77.0999984741211,81.1999969482422
"43","Dominican Republic",11,69.6999969482422,73.5
"44","Ecuador",16,72.6999969482422,76.5
"45","Egypt",12,69.1999969482422,70.5
"46","El Salvador",13,68.8000030517578,73.6999969482422
"47","Eritrea",21,43.9000015258789,65
"48","Estonia",4,70.9000015258789,77.8000030517578
"49","Ethiopia",15,50.7999992370605,65.5
"50","Fiji",10,67.6999969482422,69.9000015258789
"51","Finland",4,77.8000030517578,81.4000015258789
"52","France",7,79.0999984741211,82.9000015258789
"53","Gabon",14,59.5999984741211,66.4000015258789
"54","Gambia",17,56.2000007629395,61.9000015258789
