"","Ageyears","qx","lx","dx","Lx","Tx","ex","age"
"1","0–1",0.00586390262469649,1e+05,586.390258789062,99487.4921875,7865194.5,78.6519470214844,1
"2","1–2",0.000396284798625857,99413.609375,39.3961029052734,99393.90625,7765707,78.1151275634766,2
"3","2–3",0.00026205790345557,99374.2109375,26.0417976379395,99361.1875,7666313.5,77.1459045410156,3
"4","3–4",0.000196736858924851,99348.171875,19.545446395874,99338.3984375,7566952,76.1659927368164,4
"5","4–5",0.000158240465680137,99328.625,15.7178077697754,99320.765625,7467613.5,75.1808776855469,5
"6","5–6",0.000150831911014393,99312.90625,14.9795551300049,99305.421875,7368293,74.1927032470703,6
"7","6–7",0.00013492931611836,99297.9296875,13.3982019424438,99291.234375,7268987.5,73.2038192749023,7
"8","7–8",0.000121125871373806,99284.53125,12.0259256362915,99278.515625,7169696.5,72.2136306762695,8
"9","8–9",0.000107538355223369,99272.5078125,10.6756019592285,99267.171875,7070418,71.2223205566406,9
"10","9–10",9.52993868850172e-05,99261.8359375,9.45959186553955,99257.109375,6971150.5,70.2299194335938,10
"11","10–11",8.87355563463643e-05,99252.375,8.80721473693848,99247.96875,6871893.5,69.2365646362305,11
"12","11–12",9.49519744608551e-05,99243.5703125,9.42337322235107,99238.859375,6772645.5,68.2426605224609,12
"13","12–13",0.000122189288958907,99234.1484375,12.1253499984741,99228.0859375,6673406.5,67.2490921020508,13
"14","13–14",0.000175166132976301,99222.0234375,17.3803386688232,99213.328125,6574178.5,66.2572479248047,14
"15","14–15",0.000248543423367664,99204.640625,24.6566600799561,99192.3125,6474965,65.2687683105469,15
"16","15–16",0.00032804548391141,99179.984375,32.5355453491211,99163.71875,6375773,64.2848739624023,16
"17","16–17",0.000409930275054649,99147.4453125,40.6435394287109,99127.125,6276609,63.3058052062988,17
"18","17–18",0.000501902832183987,99106.8046875,49.7419853210449,99081.9375,6177482,62.3315620422363,18
"19","18–19",0.000602643529418856,99057.0625,59.6960983276367,99027.21875,6078400,61.3626098632812,19
"20","19–20",0.000706460501533002,98997.3671875,69.9377288818359,98962.3984375,5979373,60.3993148803711,20
"21","20–21",0.000813615217339247,98927.4296875,80.4888610839844,98887.1875,5880410.5,59.4416580200195,21
"22","21–22",0.000914035015739501,98846.9375,90.3495635986328,98801.765625,5781523.5,58.4896583557129,22
"23","22–23",0.00099424587097019,98756.5859375,98.1883316040039,98707.4921875,5682721.5,57.5427093505859,23
"24","23–24",0.00104815745726228,98658.3984375,103.409538269043,98606.6953125,5584014,56.599479675293,24
"25","24–25",0.00108298438135535,98554.9921875,106.733520507812,98501.625,5485407.5,55.6583442687988,25
"26","25–26",0.00111166411079466,98448.2578125,109.441398620605,98393.5390625,5386906,54.7181434631348,26
"27","26–27",0.00114323885645717,98338.8203125,112.424758911133,98282.609375,5288512,53.7784767150879,27
"28","27–28",0.00117668299935758,98226.3984375,115.581329345703,98168.609375,5190229.5,52.8394546508789,28
"29","28–29",0.00121571309864521,98110.8203125,119.274612426758,98051.1875,5092061,51.9011154174805,29
"30","29–30",0.00125990901142359,97991.546875,123.460433959961,97929.8125,4994010,50.963680267334,30
"31","30–31",0.00130612566135824,97868.0859375,127.828018188477,97804.171875,4896080,50.0273399353027,31
"32","31–32",0.00135253288317472,97740.2578125,132.196914672852,97674.15625,4798276,49.092113494873,32
"33","32–33",0.00140105350874364,97608.0625,136.754119873047,97539.6875,4700601.5,48.1579208374023,33
"34","33–34",0.00145133980549872,97471.3046875,141.463989257812,97400.578125,4603062,47.2247924804688,34
"35","34–35",0.0015040592988953,97329.84375,146.389862060547,97256.6484375,4505661.5,46.2927017211914,35
"36","35–36",0.00156606524251401,97183.453125,152.19563293457,97107.359375,4408405,45.3616828918457,36
"37","36–37",0.00163467996753752,97031.2578125,158.615051269531,96951.953125,4311297.5,44.4320487976074,37
"38","37–38",0.00170090352185071,96872.640625,164.771011352539,96790.25,4214345.5,43.5039825439453,38
"39","38–39",0.00176273647230119,96707.8671875,170.470489501953,96622.6328125,4117555.25,42.5772514343262,39
"40","39–40",0.00182732986286283,96537.3984375,176.405670166016,96449.1953125,4020932.5,41.651554107666,40
"41","40–41",0.00190737284719944,96360.9921875,183.796340942383,96269.09375,3924483.5,40.7268905639648,41
"42","41–42",0.00201099156402051,96177.1953125,193.411529541016,96080.484375,3828214.25,39.8037643432617,42
"43","42–43",0.0021355883218348,95983.78125,204.981842041016,95881.2890625,3732133.75,38.8829612731934,43
"44","43–44",0.0022804201580584,95778.796875,218.415893554688,95669.59375,3636252.5,37.9651107788086,44
"45","44–45",0.00244479230605066,95560.3828125,233.625289916992,95443.5703125,3540583,37.0507392883301,45
"46","45–46",0.00262052961625159,95326.7578125,249.806594848633,95201.859375,3445139.25,36.1403160095215,46
"47","46–47",0.00282053602859378,95076.953125,268.16796875,94942.8671875,3349937.5,35.233959197998,47
"48","47–48",0.00306605803780258,94808.78125,290.689239501953,94663.4375,3254994.5,34.3322067260742,48
"49","48–49",0.00336857605725527,94518.09375,318.391387939453,94358.8984375,3160331.25,33.4362564086914,49
"50","49–50",0.00371979991905391,94199.703125,350.404052734375,94024.5,3065972.25,32.5475769042969,50
"51","50–51",0.00409019365906715,93849.296875,383.861785888672,93657.3671875,2971947.75,31.6672344207764,51
"52","51–52",0.00447356421500444,93465.4375,418.123626708984,93256.375,2878290.5,30.795238494873,52
"53","52–53",0.00489137275144458,93047.3125,455.129089355469,92819.75,2785034,29.93137550354,53
"54","53–54",0.00534395314753056,92592.1796875,494.808258056641,92344.78125,2692214.25,29.0760440826416,54
"55","54–55",0.00582200475037098,92097.375,536.191345214844,91829.28125,2599869.5,28.2295722961426,55
"56","55–56",0.00631902134045959,91561.1875,578.577087402344,91271.8984375,2508040.25,27.3919582366943,56
"57","56–57",0.00682523706927896,90982.609375,620.977905273438,90672.125,2416768.25,26.5629692077637,57
"58","57–58",0.0073414696380496,90361.6328125,663.38720703125,90029.9375,2326096.25,25.7420787811279,58
"59","58–59",0.00787698198109865,89698.2421875,706.551452636719,89344.96875,2236066.25,24.9287624359131,59
"60","59–60",0.00844705477356911,88991.6875,751.717651367188,88615.828125,2146721.25,24.1227169036865,60
"61","60–61",0.00906533654779196,88239.96875,799.924987792969,87840.0078125,2058105.5,23.3239593505859,61
"62","61–62",0.00973428599536419,87440.046875,851.166442871094,87014.46875,1970265.5,22.5327587127686,62
"63","62–63",0.0104441214352846,86588.8828125,904.344787597656,86136.7109375,1883251,21.749340057373,63
"64","63–64",0.0111765656620264,85684.5390625,957.658874511719,85205.7109375,1797114.25,20.973611831665,64
"65","64–65",0.0119275134056807,84726.8828125,1010.5810546875,84221.59375,1711908.625,20.2050228118896,65
"66","65–66",0.0127070974558592,83716.3046875,1063.79125976562,83184.40625,1627687,19.442892074585,66
"67","66–67",0.0135565148666501,82652.515625,1120.48010253906,82092.28125,1544502.625,18.6866989135742,67
"68","67–68",0.0145145915448666,81532.0390625,1183.404296875,80940.3359375,1462410.25,17.9366321563721,68
"69","68–69",0.0156336780637503,80348.6328125,1256.14465332031,79720.5625,1381470,17.1934471130371,69
"70","69–70",0.0169610474258661,79092.484375,1341.49133300781,78421.734375,1301749.375,16.4585723876953,70
"71","70–71",0.018596213310957,77750.9921875,1445.8740234375,77028.0546875,1223327.625,15.7339162826538,71
