"","country","percent"
"1","Australia",9.10000038146973
"2","Austria",10.3000001907349
"3","Belgium",10
"4","Canada",10.3999996185303
"5","Chile",8.10000038146973
"6","Czech Republic",7.09999990463257
"7","Denmark",10.1999998092651
"8","Estonia",6.69999980926514
"9","Finland",9.19999980926514
"10","France",11.5
"11","Germany",11.3000001907349
"12","Greece",8.39999961853027
"13","Hungary",7.19999980926514
"14","Iceland",8.5
"15","Ireland",7.09999990463257
"16","Israel",7.40000009536743
"17","Italy",8.89999961853027
"18","Japan",10.6999998092651
"19","Korea",7.59999990463257
"20","Latvia",6.30000019073486
"21","Lithuania",6.30000019073486
"22","Luxembourg",6.09999990463257
"23","Mexico",5.40000009536743
"24","Netherlands",10.1000003814697
"25","New Zealand",9
"26","Norway",10.3999996185303
"27","Poland",6.69999980926514
"28","Portugal",9
"29","Slovak Republic",7.09999990463257
"30","Slovenia",8
"31","Spain",8.80000019073486
"32","Sweden",10.8999996185303
"33","Switzerland",12.3000001907349
"34","Turkey",4.19999980926514
"35","United Kingdom",9.60000038146973
"36","United States",17.1000003814697
