"","year","total_mortality_rate","mortality_7","mortality_7_27","mortality_28_364"
"1",1933,58.0999984741211,26.2999992370605,7.69999980926514,24.1000003814697
"2",1940,47,23.2999992370605,5.5,18.2999992370605
"3",1950,29.2000007629395,17.7999992370605,2.70000004768372,8.69999980926514
"4",1960,26,16.7000007629395,2,7.30000019073486
"5",1970,20,13.6000003814697,1.5,4.90000009536743
"6",1975,16.1000003814697,10,1.60000002384186,4.5
"7",1976,15.1999998092651,9.30000019073486,1.60000002384186,4.30000019073486
"8",1977,14.1000003814697,8.39999961853027,1.5,4.19999980926514
"9",1978,13.8000001907349,8,1.5,4.30000019073486
"10",1979,13.1000003814697,7.5,1.39999997615814,4.19999980926514
"11",1980,12.6000003814697,7.09999990463257,1.39999997615814,4.09999990463257
"12",1981,11.8999996185303,6.69999980926514,1.29999995231628,3.90000009536743
"13",1982,11.5,6.40000009536743,1.29999995231628,3.79999995231628
"14",1983,11.1999998092651,6.09999990463257,1.20000004768372,3.90000009536743
"15",1984,10.8000001907349,6.09999990463257,1.20000004768372,3.90000009536743
"16",1985,10.6000003814697,5.80000019073486,1.20000004768372,3.70000004768372
"17",1986,10.3999996185303,5.59999990463257,1.10000002384186,3.59999990463257
"18",1987,10.1000003814697,5.40000009536743,1.10000002384186,3.59999990463257
"19",1988,10,5.19999980926514,1.10000002384186,3.59999990463257
"20",1989,9.80000019073486,5.09999990463257,1.10000002384186,3.59999990463257
"21",1990,9.19999980926514,4.80000019073486,1,3.40000009536743
"22",1991,8.89999961853027,4.59999990463257,1,3.40000009536743
"23",1992,8.5,4.40000009536743,1,3.09999990463257
"24",1993,8.39999961853027,4.30000019073486,0.899999976158142,3.09999990463257
"25",1994,8,4.19999980926514,0.899999976158142,2.90000009536743
"26",1995,7.59999990463257,4,0.899999976158142,2.70000004768372
"27",1996,7.30000019073486,3.79999995231628,0.899999976158142,2.5
"28",1997,7.19999980926514,3.79999995231628,0.899999976158142,2.5
"29",1998,7.19999980926514,3.79999995231628,1,2.40000009536743
"30",1999,7.09999990463257,3.79999995231628,1,2.29999995231628
"31",2000,6.90000009536743,3.70000004768372,1,2.29999995231628
"32",2001,6.80000019073486,3.59999990463257,0.899999976158142,2.29999995231628
"33",2002,7,3.70000004768372,0.899999976158142,2.29999995231628
"34",2003,6.84000015258789,3.70000004768372,0.920000016689301,2.20000004768372
"35",2004,6.78000020980835,3.60999989509583,0.920000016689301,2.29999995231628
"36",2005,6.8600001335144,3.63000011444092,0.910000026226044,2.3199999332428
"37",2006,6.67999982833862,3.54999995231628,0.910000026226044,2.22000002861023
"38",2007,6.75,3.50999999046326,0.920000016689301,2.32999992370605
"39",2008,6.6100001335144,3.45000004768372,0.850000023841858,2.3199999332428
"40",2009,6.3899998664856,3.32999992370605,0.850000023841858,2.21000003814697
"41",2010,6.1399998664856,3.23000001907349,0.819999992847443,2.09999990463257
"42",2011,6.07000017166138,3.25,0.810000002384186,2.00999999046326
"43",2012,5.98000001907349,3.22000002861023,0.800000011920929,1.96000003814697
"44",2013,5.96000003814697,3.27999997138977,0.759999990463257,1.91999995708466
"45",2014,5.82000017166138,3.16000008583069,0.790000021457672,1.87000000476837
"46",2015,5.90000009536743,3.15000009536743,0.790000021457672,1.96000003814697
"47",2016,5.86999988555908,3.09999990463257,0.779999971389771,1.99000000953674
"48",2017,5.78999996185303,3.07999992370605,0.730000019073486,1.94000005722046
"49",2018,5.67000007629395,3.04999995231628,0.730000019073486,1.88999998569489
